,Reviewer Name,Review Title,Review Text,Reviewed Date,Review Rating
20,Amazon Customer,Over Heating Issue,I just purchased this model. It has an overheating issue even during browsing and if we play PubG that time it's too much overheated. Battery Draining issue does not seem like 5000 mah battery till evening only 40% battery remaining. In this model Samsung remove Secure Folder option so we can not hide personal data.,13 March 2019,2
21,kavin,Camera problem & Rude customer care," Got a faulty Samsung M30 phone.

After two weeks of using found that the camera stopped working.

Camera Issue:
When we click on camera icon blank screen is coming.

Lag issue:
Sometimes on touching on any icon an evident delay is happening.

With all these issues reported given to service center

Things done in service center:
- Updated OS
- Replaced camera
Still the issue is not fixed.

Now they told they will replaced the panel and check. Still haven't found any problem. When requested for replacement with all these valid problems not replacing the faulty phone.

Very rude people working for Samsung customer care. Worst experience with that also.

IMPORTANT NOTE:
Attached video of those problems. Please refer it... Can attach only one video

New Update:
Finally they have replaced the board and the problem was fixed...

And they gave me 6 months extended warranty.

Though didn't get a device replacement.",14 April 2019,1
22,Abhishek S.,"Fastest like Ferrari, Strong like Hummer, This will beat MI, OPP0, VIVO EASILY","Best ram management
Pro camera
Amazing Display
everything is good and fast

Also made in india.",11 March 2019,5
23,Urmi Bhatt,Best phone in this price,"When it comes to Samsung M30, you know you're in a good deal. From the display to the look of it, I love every single bit of it. The blue gradient color is one to look out of for. When it comes to using it, you have a power packed device in your hand. Powered with Android 8.1, it is the latest one in the market making it already a favourite. When it comes to RAM, it handles it all. The camera is pretty impressive and the display is an infinite making it amazing to view at. The battery life on the other hand, is long enough letting you do whatever you want to. Even if the battery is low, it charges up extremely fast enough to enjoy your phone once again. The fast charger is a unique and a must have one. The camera has all the settings of that a professional camera, making it an amazing option to have. I highly recommend this for all students",11 March 2019,5
24,Alvin,Great at first. Not anymore.,"Great screen and battery backup Impressed me. Pubg worked well in medium. Camera looked good and all.....the next day,it worked for seconds and the screen died while using it. No external damage. Just went black,and touch was still working. Worse customer service but finally got my refund (replacement wasn't even available) today. It also has a crap processor. It lagged when switching apps. Go for note 7 pro,way better buy than this.",13 March 2019,1
25,Sameksh,Money worth spending,"Samsung galaxy M30 is the lowest priced smart phone with 3 back cameras.It has a 16mp front camera with focus which is seen very less in any smartphone below 18,000 INR M30 also gives a 5000 MaH battery so we get a better battery back up and use the phone all day without any need to charge.Phone comes with a amoled display so the contrast and the characters are really sharp and the screen looks really beautiful.The 6gb ram and 128GB RAM will make your phone run faster than ever you can play any game in your phone so your gaming experience is going to be really good and The phone is really light you wont even feel any weight on your pockets when you roam around and looks of the phone is mind blowing overall Samsung galaxy M30 is a delight to have in your hands If your budget is under 20000 it is your go to phone",11 March 2019,5
26,Inpreet s.,Worst camera quality,"Worst camera quality. Both front & back cameras are not up to the mark .
""Face recognition"" is also slow.
Screen, Look, battery is gud. But picture quality is too bad.",20 March 2019,1
27,Ram g,Worst Product from Samsung,"Unboxed the item and tried to play ringtone or any song to check Audio quality. External speaker is not working . Performed Soft reset and Hard reset both. Now the device become abnormal state during booting stage and is rebooting automatically for more than 30 mins by showing ""SAMSUNG GALAXY M30"" nothing given over control to move forward...Hold power button on time to control above situation but no use. Is started working like as Un programmed ROBOT.
Not at all expected from SAMSUNG.!!!!!!!!!!!!!
Are you guys are checking\testing products properly before dispatching to the customers ?? (or) for flash sale sake running behind ???? thinking like Let first deliver and make money, later on will respond to the customers if they face any problem with the defective piece. .
Irony is for this product especially, customer will not get an option to select replacement or refund option . You have to be dependent on customer care executive for any further support.You will not come to know the status immediately though executive raised a request for Replacement. It take some time to reflect in the system to update after going through several approvals process. I.e replacement / Refund is not hassle free process.",22 March 2019,1
28,Darshan Doshi,Samsung M30,So yeah talking about samsung M30 its just amazing with new classic look you can say the phone is of next generation and pretty amazing with its features. Talking about camera who needs digital camera if you have samsung M30 who need play station when you have this M30 with its amazing gaming mode and talking about selfie features such a zoom out selfie is lit portrait and and many others like it has all in one we can say a complete phone talking about processor of the phone its ultra amazing one can play games without getting hang amazing touch like its just sleek and smooth 3 cameras back and 1 in front amazing like its catches your personality cool battery life so amazing like we charged for minutes and hold it for 2 days continuous battery life talking about price of phone it is very structural and affordable for every middle class person so that even they can also have phone with all the banging features even slow mode and video mode is very unique coming to the body of the phone gradient colour is very mesmerising battery life is super ultimate i would say its very powerful and I’ll surely recommend my friends to go for it.,11 March 2019,5
29,M.A.Irfan,screen guard and back cover,I have not receive screen guard and back cover,13 March 2019,3
30,AJN,50-50 experience in comparison to other phones in same segment.,"Loving the m30. Super light and easy to hold thanks to its curved design. Sometimes the screen gets a little cut off at the corners but that's okay. Great customisation. Battery is pretty great. Love that the headphone Jack and the charging point is on the same end and that it has a dedicated slot. Finger print scanner and face detection is a little dull. Can't lock my phone with finger print like I could on my Moto G5s+. Also the speaker kinda resounds, as though you were in a closed room. Also camera is pretty average, hating the beauty mode. Touch sensitivity can also be a little awkward sometimes in the corners. All in all it's a decent phone, great battery life so for basic users who don't play games sometimes or all the time. It's a great handset to have invested in. However, it suits my basic needs, so I'm all for it.",14 March 2019,4
31,Suraj Koparkar,Excellent product,Screen is amazing battrey life is also good at this price range,11 March 2019,5
32,Sushil D.,Best phone in this budget...!!!,"Pros:-

Made in India.
Big battery (5,000 mAh)
Fast charging support (fast charger is included in the box)
Type-C charging port
6.4inches FHD+ Super AMOLED display with infinity-U cut design
Tripple Slot(Two SIM cards+Memory Card simultaneously)
Tripple Cameras (13MP+5MP+5MP)
Front camera 16MP(f/1.9)

Cons:-

Plastic body instead of metal
Less powerful processor compare to other phones in same price range
Design should be improved as device is slippery
Camera in low light is average compare to other new phones in same price range

Good phone in this budget and trust of Samsung makes it more reliable.",13 March 2019,5
33,Bhargav,Just a Ok Ok phone,The mobile is getting struck and it's taking 3 hours for full charge from less than 10% to 100% with 15W fast charger given by them in the box....Then there's no point of fast charging here...In 3 hours any phone wil get fully charged with any charger...Then wats the point here saying fast charger and 3x faster and all...,12 March 2019,2
34,ravi kumar,Poor build quality... ☹,Phone specifications are awesome but it's build quality is too poor. It's rare is scratched in only one day normal use . Im disappointed with it.,11 March 2019,2
35,Dinesh Chaurasia,M30 Battery is worst and overall quality is not good,"After 4months using of this mobiles set, I am writing my this feedback. Samsung M30 processing is slow, it's finger print senser and face detection features are not upto the mark. Its Battery which is 5000AmH, does not seem powerful battery, it's performance is equal to 2800-3000AmH battery, it get s drained very fast watching videos. If you charge its battery 100% then it comes down 97% within 30 minutes without using the phone.
Camera quality is also not good, there is no sense of rear triple camera.
This is only Brand Tag Samsung but over all quality of this phone is not good. It is not worthwhile to o spend Rs 15000 for this ""GHATIYA"" mobile.
So if somebody wants to buy M30, don't buy it. Better should go for Redmi note 7 pro/ Honor or Vivo",16 March 2019,1
36,Bharath,MUST READ BEFORE BUYING,"The phone is not at all good ....phones that other brands offer in the same price range are fabulous.
The finger print scanner keep shaking and feels of cheap quality.samsung justs did a lot of marketing about the device but the main highlight the CAMERA is really a peice of shit not at all good..the camera in the ""mi note 7 pro"" is way better than the samsung M30 anyday.",18 March 2019,1
37,Vipul kumar vats,Overall best phone under 15 k,"Samsung..great performance !!
Looks pretty!!",16 March 2019,5
38,Juhi H Bhavsar,The phone is amazing I recommend people to take this,"The phone was amazing as I'm a selfie girl the front camera is Amazing 😀 the 3 camera Feature which gives the back camera a good Focus, The phone is designed in an amazing way with face id and finger print and many more,battery is long lasting samoled FHD +display .I have chosen the black colour Variant which has amazing display, this phone is Way better than my old phone. As it has it's best photography option in everymode we can edit the photos. 13+5+5MP triple rear camera with f1.9aperture 2.2wideangle , 2.2flash 16MP front camera with f20aperture . Memory ,storage has good capacity and phone doesn’t hang as my Last phone . And it has a dual sim Samsung M30 is an amazing phone with amazing choice with lot of new adavance technique . As I have the m30 it is an amazing phone I recommend all to take this phone .",11 March 2019,5
39,Divyesh Patel,Best Battery Backup Ever,"Samsung Midrange Smartphone at its best!!

Screen: sAMOLED Display too good
Battery: 48+ Hours with a more than normal usage.
Speed: Pubg goes well. no Heating
Camera: Not Too Good. but less than Expected.
Best Product to buy....If camera is not your primary Preference.",12 March 2019,4
40,Kuldeep,Super awesome 😍 !!! Go for it ✔✔,"The first thing that noticed while unboxing was the gradant look samsung gave to the phone it was just awesome 😍. The battery is just outstanding 5000mah with normal usage it lasts about 2-3 days. Gamers go for it the super amoled display gives a marvellous experience in gaming. The first phone in market with triple camera in this range it has one depth camera the close up shots are just yoo good and the wide angle camera captures outstanding images. The selfies are just super awesome with great quality. 6.4 inch comes with infinity display just loved it.The phone never had lagging issues the games like pubg ran very smoothly✔
The fingerprint sensor also responds with second or less.samsung always comes with the great picture quality also this time the picture quality i love it the triple cameras are just best to capture life's unforgettable moments.
Just a great piece of advice from your brother in this price range there is no other like Samsung. Just go for it 😍😍😍
The M30 and M series are just killing it great price ,great specs,quality,and the brand Samsung just loved it ✋😍✔""",11 March 2019,5
41,Tejas Thakur,Never buy a SAMSUNG PHONE!!!,"THE WORST PHONE THAT I'VE EVER USED!!
Purchased on : April 2, 2019
Received on : April 4, 2019
I actually brought Samsung Galaxy M30 on March 12 (flash sale)... The phone died in just 6 days... The phone didn't turn on again... I requested a replacement for the product, but it was not in stock... So amazon refunded my money on Amazon Pay... I purchased M30 again (on April 2, 2019)... The phone died again just within 2 days!! The screen turned off automatically while I was using it... I tried to turn it on thinking that this might be an accidental switch off... My phone had a charge around 57%... But when I tried to turn on, nothing happened... I plugged a charger into it, it just showed a circle with a lighting symbol (⚡) in it... The same thing had happened with my first M30... Now I've requested for a refund from amazon... I trusted Samsung a lot... But it BROKE MY TRUST WITHIN BLINKS!!! NEVER BUY A SAMSUNG PHONE!!!",7 April 2019,1
42,Santosh,Not for camera users,"Overall phone is good at this price..
The camera is not as expect.",13 March 2019,4
43,Bedaprakash Singhsamant,not a value for its price.,"Received it today.firstly the screen and display is great but the polycarbonate body looks real cheap for this price range.
Checked through the settings and apps.well you will not find any lag for now.I believe thats same for all smart phones at this range.
Guys dont go for this phone if you are camera savvy, its not the right deal. Although its usp is triple rear camera but its not just that good enough.
Wide angle is superb but colour correction and AI control is no atall upto the mark. Note 7 pro, samsung j30 will be ranked way above these model.
Front camera is ok and take decent photos.
there is a pro mode in camera but not much manual option to p;lay with other that iso and exposure control.
Video mode has literally no features.
just point and shoot.
Atleast expected slowmo and time lapse is 15k budget phone.
Battery is good and fast 15w charger was in the package.",20 March 2019,3
44,Mateen,bad battery... it is getting heated very soon,"fingerprint place is moving which isnot fixed to the phone......
battery is very bad...i received this phone with 50% battery... it took 90 minutes to charge 100% battery with fast charger.... battery is very bad..

if u people are looking m30 for good battery... i suggest dont buy m30..",23 March 2019,1
45,Mitesh Tendolkar,More value for money,"Best phone to get rid of those Chinese options. Phone is manufactured in India and comes with a trust of brand Samsung. With M series Samsung have overcome it's all time drawback of not giving powerful battery. Camera and sound quality is excellent. Face recognition is quick. Screen is superb, in any light and at any angle. Feel of phone is solid and doesn't give feel of plastic. Gradient back panel looks awesome.",13 March 2019,5
46,AmazonCustomer,BAD EXPERIENCE,"I am very disappointed with this phone from Samsung M30. I am using it for more 7 days and here is why I am reviewing bad:
- Phone heats up while playing PUBG;
- Display is not good at all. Mi is no doubt way better.
- Battery is 5000mah as they say but does not work like that. Even in week 1, it died very easily. Another reason to give 1 is because Frapp, which asked us to buy this product didn’t pay my stipend earlier. They acted as Fraud company.",24 April 2019,1
47,Avigyan,Beast at a 15k price range,"I'll head straight to my likes and dislikes.

Likes:

1. Massive Battery: The back up is really good. For a regular user, easily a day and half's juice.
2. Fast Charging: Takes about 2 hours to fully charge the phone from 10%. Yes 2 hours is a lot but even the battery is large.
3. Camera: Does a good job. I was on a fix after checking Redmi Note 7 Pro's camera samples, but trust me the shots are equally good, and the front camera does a better job than Redmi's.
4. Customization: The UI has gestures, features and better options for accessibility than the previous generations of Samsung.
5. No stutter/ lag: Using it for 3 days now, and faced no lag. Smooth experience when it comes to daily usage (can't say about gaming)
6: Minimal Heating: Very less heating. Some people have complained about heating during calls. I haven't faced any.
7. Call Clarity: The calls, the major purpose a phone serves are crystal clear, infact a better reception and a loud microphone (Note 7 Pro has issues with microphone, its not too

Dislikes:

1. Ads: Like MI, even this phone shows up ads randomly while using any app. Can be reduced, but can't be escaped from.
2. Speaker Loudness: Satisfactory and decent but not very loud.
3. Face recognition is fast, but not very fast. Also doesn't work at certain angles.
4. Loss of detail in ultra wide camera
5. No dark mode (black/ dark background for UI. I personally like it that way)
6. Android Oreo in box, and no clue when Pie will be rolled out. Newer versions of Android tend to provide better functionality.",22 March 2019,5
48,Vikram S.,Does not support Samsung Knox,"This is a good product, but I want to return it because this does not fulfill my important need. I have been using Galaxy series phones because of Samsung Knox, and after getting this product I discovered that this product does not support Knox, so I have no use for this.

But I am surprised that they launch this new series and keep an important feature out? really disappointed.",18 March 2019,1
49,Harsh Marolikar,A Great Phone,"I wanted a budget friendly phone and I was lucky to have found one. Firstly, I was happy that it is a Samsung product which one can rely on. Secondly, it was falling under my budget of 14,990. I can say that I am very thankful for Samsung, for launching such a great phone. This phone has everything that one can ask for , be it good camera, battery, display, processor, be it anything, Samsung M30 fulfills your demand. Personally for me , I am highly impressed with its Battery power, it has 5000mah battery which is amazing. Now a days it is very difficult to get such a great battery life in a phone. It has 4gb RAM , which is one of best feature of this phone as myself being a game addict , i always wished for a phone in which i can enjoy playing games smoothly without lacking and Samsung M30 has made it possible. It has 3 cameras at the Back and one front camera as well which is pretty amazing. It's Infinity U display steals everything, it gives a premium feeling while using the phone. Samsung M30 is the best phone one can ask for. The design of the phone is amazing and I might not switch to some another phone for atleast sometime now.",11 March 2019,5
50,Amazon Customer,Not worth for money.All gimmicks,"Doesn't seems to be 5000 mah battery drains very fast,frequent advertisement,mobile is very slow.screen is not protected by gorilla glass 5 or 6 for better screen life.Camera quality also not upto the mark comparing to note 7 pro.One good thing is AMOLED display which looks very premium in hand.",15 March 2019,1
51,Amazon Customer,Worst Product Over heating problem,This Phone is getting over heating while calling or listening music and video if you watch movies .. do not buy this phone . I dont want to give any one start but there is validation atleast select one star. Worst worst Worst product,13 March 2019,1
52,Rohit,Defect piece received..,I think no one checked the product before delivering to customers.. i have purchased it on 26th march and it got delivered on 30th march. I opened it with great excitement and really disappointed as its mic is not working.. if we put our hard earned money to purchase this phone but if u get defect piece how you will feel... i thought of filing a formal complaint in civil court,1 April 2019,1
53,sandeep,Really value for money,This is a gift for my wife but now i am thinking i did mistake I shd get it for me also what a awesome handset with long life battery and super clear screen much better then MI and vivo products.Me and friend both order it honeslty we has decided to give up s7 edge.This time samsung deserves applause for good work.One thing more to mention it has Always on Display.That is good move samsung,16 March 2019,5
